SalePrice,LotArea,GarageArea,GrLivArea,LotFrontage
208500,8450,548,1710,65.0
181500,9600,460,1262,80.0
223500,11250,608,1786,68.0
140000,9550,642,1717,60.0
250000,14260,836,2198,84.0
143000,14115,480,1362,85.0
307000,10084,636,1694,75.0
129900,6120,468,1774,51.0
118000,7420,205,1077,50.0
129500,11200,384,1040,70.0
345000,11924,736,2324,85.0
279500,10652,840,1494,91.0
132000,6120,576,854,51.0
90000,10791,516,1296,72.0
159000,13695,576,1114,66.0
139000,7560,294,1339,70.0
325300,14215,853,2376,101.0
139400,7449,280,1108,57.0
230000,9742,534,1795,75.0
129900,4224,572,1060,44.0
256300,14230,890,1600,110.0
134800,7200,576,900,60.0
306000,11478,772,1704,98.0
207500,16321,319,1600,47.0
68500,6324,240,520,60.0
40000,8500,250,1317,50.0
179900,11049,484,1234,85.0
165500,10552,447,1700,70.0
277500,7313,556,1561,60.0
309000,13418,691,2452,108.0
145000,10859,672,1097,112.0
153000,8532,498,1297,74.0
109000,7922,246,1057,68.0
160000,8658,440,1324,84.0
170000,16905,308,1328,115.0
141000,7945,300,1150,70.0
319900,7658,576,1752,61.0
239686,12822,670,2149,48.0
249700,11096,826,1656,84.0
127000,7742,386,955,66.0
114500,6240,528,1176,52.0
110000,8472,516,816,110.0
385000,50271,894,1842,68.0
130000,7134,572,1360,60.0
180500,10175,576,1425,100.0
172500,2645,480,1739,24.0
196500,11645,565,1720,89.0
438780,13682,641,2945,66.0
124900,7200,352,780,60.0
158000,13072,576,1158,63.0
101000,7200,288,1111,60.0
202500,6442,484,1370,44.0
140000,10300,480,1710,50.0
317000,9591,852,2473,76.0
226000,10665,558,1479,72.0
80000,4608,220,747,47.0
225000,15593,667,2287,81.0
244000,13651,516,2223,95.0
129500,7599,360,845,69.0
185000,10141,427,1718,74.0
144900,10200,490,1086,85.0
107400,5790,379,1605,60.0
91000,1596,297,988,21.0
127000,8635,240,1285,50.0
110000,10440,440,1230,60.0
193500,13000,509,2142,100.0
153500,4500,405,1337,32.0
245000,10206,758,1563,78.0
126500,8892,461,1065,80.0
260000,16059,462,2417,121.0
174000,11911,400,1560,122.0
164500,3951,528,1224,40.0
109900,7200,420,1040,60.0
98600,8500,480,1235,85.0
163500,13360,432,964,80.0
133900,7200,506,2291,60.0
204750,9337,684,1786,69.0
214000,10264,472,1588,78.0
94750,10921,432,960,73.0
83000,10625,366,835,85.0
178000,9206,476,1732,77.0
118964,7018,410,1535,64.0
198900,10402,740,1226,94.0
250000,9375,648,1992,75.0
100000,10800,273,1047,60.0
115000,6000,250,789,50.0
190000,11751,546,1844,105.0
136900,9525,325,1855,75.0
383970,9965,792,2696,77.0
259500,7259,180,2320,61.0
176000,3230,440,1458,34.0
155000,8536,430,1125,74.0
320000,12376,594,3222,90.0
163990,8461,390,1456,65.0
100000,6060,264,1123,50.0
136000,9464,288,1080,75.0
153900,7892,530,1199,55.0
181000,17043,435,1586,48.0
155000,7590,453,1348,69.0
150000,8973,750,1053,69.0
226000,14200,487,2157,88.0
150750,7388,624,1327,75.0
180000,10335,440,1721,78.0
174000,10400,530,1682,80.0
171000,11070,766,1959,82.0
230000,9066,660,1852,73.0
231500,15426,470,1764,65.0
260000,11645,660,1734,78.0
166000,8520,720,1385,71.0
204000,10335,577,1501,78.0
125000,9100,504,1728,70.0
130000,2522,380,1709,24.0
105000,6120,180,875,51.0
122000,10356,440,969,120.0
372402,13891,866,1710,107.0
125000,11340,312,1200,84.0
109500,7200,625,1040,60.0
269500,12003,680,1968,92.0
254900,12552,678,1947,100.0
320000,19378,576,2462,134.0
412500,13688,726,2668,110.0
220000,12182,532,1541,95.0
152000,5400,216,1616,40.0
325624,10562,789,2161,86.0
183500,8244,440,1720,62.0
215000,31770,528,1656,141.0
239000,5306,504,1767,44.0
163000,10197,504,1362,80.0
184000,12416,616,1651,47.0
243000,12615,576,2158,84.0
211000,10029,521,2060,97.0
501837,17423,1166,2234,63.0
100000,8520,480,968,60.0
200100,7588,216,1802,54.0
120000,9060,252,1340,60.0
200000,11426,484,2082,63.0
127000,7438,576,1252,92.0
475000,22950,840,3608,90.0
